date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:09	167134/167134	---M--	200	added ('OK')	image/png	etag:%2228cde-626aff6a76c11%22	https://www.ishiikomuten.jp/media/images/company_info/aisatu/img_message.png	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/media/images/company_info/aisatu/img_message.png	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:09	1345/1345	---M-Z	200	added ('OK')	text/javascript	etag:%2225d-62b28ba673ce4%22	https://www.ishiikomuten.jp/js/common.js?250218-01	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/js/common0999.js	(from https://www.ishiikomuten.jp/company_info/aisatu/)
13:58:10	258/258	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Apr%202025%2004:58:09%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/a	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/a	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:10	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Apr%202025%2004:58:10%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/POST	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/POST	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:10	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:10%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/a/	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/a/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:10	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:10%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/b.resolvedLink	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:10	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:10%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/POST/	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/POST/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:10	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:10%20GMT	https://www.ishiikomuten.jp/signals/iwl.js	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:11	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:11%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/c.dl	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/c.dl	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:11	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:11%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/schema.org/	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:58:11	32515/32515	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Apr%202025%2004:58:11%20GMT	https://www.ishiikomuten.jp/company_info/aisatu/c.rl	C:/My%20Web%20Sites/test/www.ishiikomuten.jp/company_info/aisatu/c.rl	(from https://connect.facebook.net/en_US/fbevents.js)
